0.491	0.289	0.287	0.289	0.491	0.344	1
0.404	0.191	0.327	0.292	0.406	0.319	1
0.514	0.106	0.354	0.153	0.456	0.258	1
0.530	0.198	0.372	0.276	0.428	0.602	1
0.448	0.235	0.286	0.298	0.415	0.142	1
0.402	0.251	0.186	0.116	0.425	0.653	1
0.467	0.238	0.127	0.228	0.494	0.727	1
0.525	0.211	0.336	0.258	0.406	0.774	1
0.425	0.104	0.244	0.281	0.449	0.349	1
0.506	0.221	0.315	0.276	0.440	0.425	1
0.429	0.176	0.398	0.198	0.461	0.371	1
0.425	0.103	0.354	0.113	0.429	0.187	1
0.408	0.111	0.339	0.257	0.451	0.722	1
0.438	0.135	0.109	0.163	0.431	0.176	1
0.532	0.109	0.359	0.233	0.412	0.189	1
0.429	0.176	0.130	0.247	0.425	0.498	1
0.510	0.266	0.211	0.297	0.459	0.673	1
0.529	0.237	0.306	0.233	0.466	0.486	1
0.530	0.153	0.381	0.201	0.430	0.497	1
0.497	0.151	0.373	0.140	0.435	0.758	1
0.597	0.201	0.367	0.249	0.484	0.426	1
0.541	0.165	0.361	0.163	0.449	0.455	1
0.541	0.258	0.199	0.273	0.438	0.283	1
0.517	0.128	0.396	0.194	0.440	0.052	1
0.541	0.195	0.248	0.235	0.472	0.523	1
0.438	0.228	0.161	0.132	0.461	0.012	1
0.507	0.142	0.253	0.140	0.498	0.154	1
0.535	0.138	0.151	0.103	0.437	0.725	1
0.449	0.126	0.195	0.214	0.489	0.797	1
0.517	0.229	0.202	0.278	0.486	0.622	1
0.424	0.282	0.395	0.216	0.441	0.052	1
0.586	0.271	0.101	0.132	0.423	0.051	1
0.426	0.270	0.202	0.161	0.496	0.094	1
0.521	0.156	0.123	0.237	0.437	0.722	1
0.455	0.234	0.162	0.119	0.449	0.755	1
0.472	0.215	0.211	0.299	0.435	0.772	1
0.525	0.175	0.143	0.223	0.428	0.644	1
0.442	0.292	0.376	0.108	0.495	0.039	1
0.480	0.212	0.370	0.131	0.463	0.747	1
0.526	0.293	0.325	0.171	0.467	0.783	1
0.547	0.232	0.220	0.117	0.403	0.384	1
0.555	0.166	0.165	0.244	0.444	0.736	1
0.484	0.288	0.170	0.191	0.499	0.261	1
0.409	0.143	0.354	0.166	0.460	0.778	1
0.429	0.264	0.162	0.231	0.410	0.720	1
0.470	0.198	0.183	0.120	0.474	0.732	1
0.440	0.246	0.292	0.248	0.400	0.495	1
0.478	0.211	0.284	0.155	0.442	0.129	1
0.400	0.271	0.272	0.183	0.450	0.638	1
0.447	0.161	0.142	0.171	0.457	0.347	1
0.595	0.171	0.141	0.221	0.455	0.581	1
0.477	0.107	0.395	0.184	0.460	0.231	1
0.542	0.128	0.308	0.217	0.444	0.243	1
0.473	0.201	0.364	0.161	0.441	0.411	1
0.516	0.277	0.245	0.285	0.445	0.726	1
0.577	0.113	0.338	0.181	0.418	0.368	1
0.415	0.300	0.336	0.275	0.430	0.243	1
0.434	0.256	0.282	0.268	0.416	0.592	1
0.495	0.167	0.257	0.252	0.427	0.109	1
0.437	0.163	0.309	0.185	0.438	0.134	1
0.503	0.250	0.300	0.226	0.498	0.059	1
0.585	0.109	0.264	0.149	0.426	0.486	1
0.571	0.144	0.254	0.242	0.442	0.727	1
0.589	0.102	0.131	0.270	0.489	0.278	1
0.450	0.113	0.193	0.202	0.447	0.662	1
0.553	0.201	0.371	0.270	0.461	0.613	1
0.481	0.237	0.209	0.115	0.419	0.605	1
0.532	0.245	0.223	0.170	0.458	0.394	1
0.503	0.222	0.120	0.209	0.458	0.043	1
0.569	0.165	0.201	0.260	0.431	0.672	1
0.483	0.288	0.100	0.180	0.410	0.742	1
0.543	0.131	0.110	0.111	0.458	0.123	1
0.473	0.129	0.193	0.266	0.427	0.600	1
0.477	0.282	0.182	0.286	0.411	0.600	1
0.468	0.246	0.207	0.139	0.469	0.015	1
0.471	0.209	0.123	0.141	0.493	0.308	1
0.513	0.246	0.296	0.155	0.492	0.744	1
0.499	0.138	0.217	0.293	0.417	0.578	1
0.412	0.119	0.293	0.265	0.478	0.415	1
0.447	0.237	0.275	0.156	0.433	0.736	1
0.515	0.219	0.117	0.109	0.441	0.023	1
0.418	0.181	0.397	0.218	0.438	0.336	1
0.472	0.242	0.376	0.105	0.467	0.432	1
0.454	0.236	0.315	0.239	0.457	0.140	1
0.546	0.268	0.222	0.234	0.409	0.063	1
0.455	0.141	0.134	0.119	0.454	0.700	1
0.480	0.189	0.143	0.184	0.485	0.170	1
0.402	0.281	0.209	0.176	0.479	0.284	1
0.405	0.120	0.222	0.108	0.474	0.609	1
0.595	0.130	0.273	0.220	0.490	0.128	1
0.451	0.106	0.159	0.106	0.424	0.397	1
0.547	0.274	0.384	0.296	0.461	0.187	1
0.438	0.244	0.369	0.220	0.433	0.583	1
0.543	0.277	0.191	0.123	0.403	0.790	1
0.545	0.285	0.274	0.237	0.496	0.329	1
0.403	0.273	0.240	0.182	0.474	0.336	1
0.582	0.134	0.375	0.219	0.499	0.641	1
0.568	0.217	0.297	0.288	0.404	0.524	1
0.599	0.255	0.317	0.243	0.421	0.738	1
0.489	0.228	0.120	0.297	0.463	0.131	1
0.470	0.243	0.129	0.125	0.462	0.731	1
0.517	0.194	0.285	0.123	0.453	0.029	1
0.584	0.120	0.152	0.200	0.478	0.782	1
0.537	0.202	0.287	0.198	0.431	0.009	1
0.489	0.212	0.172	0.169	0.402	0.748	1
0.542	0.179	0.394	0.291	0.474	0.430	1
0.588	0.103	0.130	0.228	0.408	0.360	1
0.445	0.206	0.147	0.245	0.444	0.693	1
0.505	0.293	0.150	0.125	0.445	0.583	1
0.537	0.281	0.398	0.278	0.496	0.178	1
0.581	0.143	0.345	0.262	0.499	0.782	1
0.463	0.264	0.129	0.204	0.422	0.215	1
0.446	0.124	0.150	0.292	0.406	0.071	1
0.532	0.157	0.118	0.127	0.404	0.409	1
0.472	0.190	0.193	0.229	0.478	0.759	1
0.405	0.102	0.297	0.146	0.471	0.763	1
0.568	0.246	0.300	0.287	0.446	0.311	1
0.524	0.171	0.227	0.280	0.458	0.131	1
0.412	0.157	0.395	0.133	0.481	0.094	1
0.493	0.186	0.362	0.131	0.465	0.789	1
0.494	0.211	0.373	0.117	0.455	0.087	1
0.500	0.135	0.392	0.129	0.414	0.374	1
0.540	0.266	0.122	0.219	0.493	0.494	1
0.509	0.230	0.110	0.198	0.491	0.035	1
0.542	0.193	0.334	0.188	0.428	0.466	1
